"runtime_path","source_path","source_pack","semantic_candidate","transformation","license","creator","license_evidence","bytes","source_sha256","runtime_sha256"
"retro-sounds-2/ball-lost.ogg","Audio/Retro Sounds 2/Audio/lose1.ogg","Retro Sounds 2 1.0","Ball lost","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Retro Sounds 2/License.txt","14407","a04c4d401e2eb98646b5ca1847864b70218fb802f1e5b1264ab7d16b6dca73d8","a04c4d401e2eb98646b5ca1847864b70218fb802f1e5b1264ab7d16b6dca73d8"
"sci-fi-sounds/brickbat-laser.ogg","Audio/Sci-Fi Sounds/Audio/laserLarge_000.ogg","Sci-Fi Sounds 1.0","Brickbat laser","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Sci-Fi Sounds/License.txt","27664","65e0d17e4744a074f9d7a4c3340a953f91bdeea4212f6ebd2e3a3bf35faf851f","65e0d17e4744a074f9d7a4c3340a953f91bdeea4212f6ebd2e3a3bf35faf851f"
"sci-fi-sounds/space-actor-projectile.ogg","Audio/Sci-Fi Sounds/Audio/laserSmall_000.ogg","Sci-Fi Sounds 1.0","Space/actor projectile","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Sci-Fi Sounds/License.txt","9367","b2f1282f7c8362fb5b71f15a5e910fa7019151e13d1c81eb80f18b43e60948f7","b2f1282f7c8362fb5b71f15a5e910fa7019151e13d1c81eb80f18b43e60948f7"
"sci-fi-sounds/projectile-explosion.ogg","Audio/Sci-Fi Sounds/Audio/explosionCrunch_000.ogg","Sci-Fi Sounds 1.0","Projectile explosion","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Sci-Fi Sounds/License.txt","30372","a20aa9b8037a992231c81b58a526262c8797a5221fbed59a7e9a791179874ee0","a20aa9b8037a992231c81b58a526262c8797a5221fbed59a7e9a791179874ee0"
"ui-pack/ui-accept.ogg","UI assets/UI Pack/Sounds/click-a.ogg","UI Pack 2.0","UI accept","byte-for-byte copy; renamed only","CC0-1.0","Kenney","UI assets/UI Pack/License.txt","10945","c5faa31bbf4a921332cdc9e7d7f7d930ca73fc8cc96e35ccc70ed2de975b26e5","c5faa31bbf4a921332cdc9e7d7f7d930ca73fc8cc96e35ccc70ed2de975b26e5"
"ui-pack/ui-toggle.ogg","UI assets/UI Pack/Sounds/switch-a.ogg","UI Pack 2.0","UI toggle","byte-for-byte copy; renamed only","CC0-1.0","Kenney","UI assets/UI Pack/License.txt","9433","1a4c90fed704b4f4b36d58f481117cfac5cdc25279a9af97d4765b71ff21ed48","1a4c90fed704b4f4b36d58f481117cfac5cdc25279a9af97d4765b71ff21ed48"
"rpg-audio/document-rpg-interaction.ogg","Audio/RPG Audio/Audio/bookOpen.ogg","RPG Audio 1.0","Document/RPG interaction","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/RPG Audio/License.txt","10309","90f96c5be94642bf16ea2e1b082920421e1c85159f0d18e687e3b464e792ad09","90f96c5be94642bf16ea2e1b082920421e1c85159f0d18e687e3b464e792ad09"
"retro-sounds-2/racing-engine.ogg","Audio/Retro Sounds 2/Audio/engine1.ogg","Retro Sounds 2 1.0","First racing prototype","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Retro Sounds 2/License.txt","14451","0fa5bdcfb9ef79e62fd6b67f3d2b4a4fc4d1a53238fab9a9b315b4cb8cc4cdb2","0fa5bdcfb9ef79e62fd6b67f3d2b4a4fc4d1a53238fab9a9b315b4cb8cc4cdb2"
"desert-shooter/player-shot-v2.ogg","2D assets/Desert Shooter Pack/Sounds/shoot-b.ogg","Desert Shooter Pack 1.0","Player shot variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/Desert Shooter Pack/License.txt","5840","3db7ba98d40db3f5403f5c661eb2e0120d79d73f1c9d477df9842d3a4c783508","3db7ba98d40db3f5403f5c661eb2e0120d79d73f1c9d477df9842d3a4c783508"
"desert-shooter/player-shot-v3.ogg","2D assets/Desert Shooter Pack/Sounds/shoot-c.ogg","Desert Shooter Pack 1.0","Player shot variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/Desert Shooter Pack/License.txt","5764","4c94b07438b794001fbff12ae360e7a2c03ea227d5ca3e04449b5681a3baab87","4c94b07438b794001fbff12ae360e7a2c03ea227d5ca3e04449b5681a3baab87"
"new-platformer/platformer-jump-v2.ogg","2D assets/New Platformer Pack/Sounds/sfx_jump-high.ogg","New Platformer Pack 1.1","Platformer jump variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/New Platformer Pack/License.txt","8396","39a049350321dc8cd9e2e19df746d18f56135dadd7aa239498fa25f9f8b4c5f5","39a049350321dc8cd9e2e19df746d18f56135dadd7aa239498fa25f9f8b4c5f5"
"new-platformer/platformer-jump-v3.ogg","2D assets/Desert Shooter Pack/Sounds/jump-a.ogg","Desert Shooter Pack 1.0","Platformer jump variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/Desert Shooter Pack/License.txt","6748","908aa41f36feb36e035bd38a6e44d49f0c2c020b1752404b7e1347833779e741","908aa41f36feb36e035bd38a6e44d49f0c2c020b1752404b7e1347833779e741"
"new-platformer/player-hurt-v2.ogg","2D assets/Desert Shooter Pack/Sounds/hurt-a.ogg","Desert Shooter Pack 1.0","Player hurt variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/Desert Shooter Pack/License.txt","7511","712587ea1a32888af3762b3e56f4ace2ea113cbc4f18dd2a8a19d013118621b3","712587ea1a32888af3762b3e56f4ace2ea113cbc4f18dd2a8a19d013118621b3"
"new-platformer/player-hurt-v3.ogg","2D assets/Desert Shooter Pack/Sounds/hurt-b.ogg","Desert Shooter Pack 1.0","Player hurt variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/Desert Shooter Pack/License.txt","7538","96762fea10581cc68bacfa0d310b808209e94c1cea5493d4b2329fab313308c0","96762fea10581cc68bacfa0d310b808209e94c1cea5493d4b2329fab313308c0"
"new-platformer/enemy-contact-hit-v2.ogg","Audio/Impact Sounds/Audio/impactGeneric_light_000.ogg","Impact Sounds 1.0","Enemy/contact hit variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Impact Sounds/License.txt","7908","cbf986108a30f9bd2575094062e4e217b9f1401aba194d90c7a379a3d59d25e0","cbf986108a30f9bd2575094062e4e217b9f1401aba194d90c7a379a3d59d25e0"
"new-platformer/enemy-contact-hit-v3.ogg","Audio/Impact Sounds/Audio/impactGeneric_light_001.ogg","Impact Sounds 1.0","Enemy/contact hit variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Impact Sounds/License.txt","7717","55adffbeea7b64c64f58aae628c08640d08c7fa8f9c1f4470dd8978e0f23120b","55adffbeea7b64c64f58aae628c08640d08c7fa8f9c1f4470dd8978e0f23120b"
"new-platformer/enemy-defeat-v2.ogg","2D assets/Desert Shooter Pack/Sounds/explosion-a.ogg","Desert Shooter Pack 1.0","Enemy defeat variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/Desert Shooter Pack/License.txt","13019","336cd73aa1650c823c05e20c450b228f6b143706e5a38227903a89f0005d22bc","336cd73aa1650c823c05e20c450b228f6b143706e5a38227903a89f0005d22bc"
"new-platformer/enemy-defeat-v3.ogg","2D assets/Desert Shooter Pack/Sounds/explosion-b.ogg","Desert Shooter Pack 1.0","Enemy defeat variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/Desert Shooter Pack/License.txt","14422","79c3208f3bd1d0e5c65f387ebb8191290444d0a5220b8027f00b634f18fb80a0","79c3208f3bd1d0e5c65f387ebb8191290444d0a5220b8027f00b634f18fb80a0"
"new-platformer/power-up-v2.ogg","2D assets/New Platformer Pack/Sounds/sfx_coin.ogg","New Platformer Pack 1.1","Power-up variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/New Platformer Pack/License.txt","5572","38c897c7a0f056e8cda892ca4a31639e1397ef9c70490351ecb0c4df0cc95e45","38c897c7a0f056e8cda892ca4a31639e1397ef9c70490351ecb0c4df0cc95e45"
"new-platformer/power-up-v3.ogg","2D assets/New Platformer Pack/Sounds/sfx_gem.ogg","New Platformer Pack 1.1","Power-up variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/New Platformer Pack/License.txt","7414","a8b9259598dd26e79afa2b802e296e175662f3e28651c65eac96af71f306794d","a8b9259598dd26e79afa2b802e296e175662f3e28651c65eac96af71f306794d"
"retro-sounds-2/brickbat-text-hit-v2.ogg","Audio/Retro Sounds 2/Audio/hit2.ogg","Retro Sounds 2 1.0","Brickbat text hit variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Retro Sounds 2/License.txt","8362","881f3742eae2943ec0d53b3858002318a06b0f12123d344acde74120e8ab78d0","881f3742eae2943ec0d53b3858002318a06b0f12123d344acde74120e8ab78d0"
"retro-sounds-2/brickbat-text-hit-v3.ogg","Audio/Retro Sounds 2/Audio/hit3.ogg","Retro Sounds 2 1.0","Brickbat text hit variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Retro Sounds 2/License.txt","7656","fea7bcc33e758e17aa88eb65e2a7341cb8427e275990d2a016333380cd61d460","fea7bcc33e758e17aa88eb65e2a7341cb8427e275990d2a016333380cd61d460"
"retro-sounds-2/brickbat-word-break-v2.ogg","Audio/Retro Sounds 2/Audio/explosion2.ogg","Retro Sounds 2 1.0","Brickbat word break variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Retro Sounds 2/License.txt","20041","e3ef7ae6f175585a134d77fb8dcb8f4036ed3d7b02226552b46968d6991ed03c","e3ef7ae6f175585a134d77fb8dcb8f4036ed3d7b02226552b46968d6991ed03c"
"retro-sounds-2/brickbat-word-break-v3.ogg","Audio/Retro Sounds 2/Audio/explosion3.ogg","Retro Sounds 2 1.0","Brickbat word break variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Retro Sounds 2/License.txt","22591","cdf6b989f906024dfb02d3aae696a8f8c1e70aac34596d9fc3996fe30f4e6f7f","cdf6b989f906024dfb02d3aae696a8f8c1e70aac34596d9fc3996fe30f4e6f7f"
"retro-sounds-2/ball-lost-v2.ogg","Audio/Retro Sounds 2/Audio/lose2.ogg","Retro Sounds 2 1.0","Ball lost variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Retro Sounds 2/License.txt","14402","d7dc434f1e6775b1b19f6feeb6e35b232f68338d2be4e248ed8810fa13e18a22","d7dc434f1e6775b1b19f6feeb6e35b232f68338d2be4e248ed8810fa13e18a22"
"retro-sounds-2/ball-lost-v3.ogg","Audio/Retro Sounds 2/Audio/lose3.ogg","Retro Sounds 2 1.0","Ball lost variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Retro Sounds 2/License.txt","19930","be4158b586996ed05c429b016749bdf215cd417a9127bcb777648d8587368d24","be4158b586996ed05c429b016749bdf215cd417a9127bcb777648d8587368d24"
"sci-fi-sounds/brickbat-laser-v2.ogg","Audio/Sci-Fi Sounds/Audio/laserLarge_001.ogg","Sci-Fi Sounds 1.0","Brickbat laser variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Sci-Fi Sounds/License.txt","28318","312f95681b88d7544ac69eadca5a30c5025f6e075fc5bcd5b4bf26de096c28a8","312f95681b88d7544ac69eadca5a30c5025f6e075fc5bcd5b4bf26de096c28a8"
"sci-fi-sounds/brickbat-laser-v3.ogg","Audio/Sci-Fi Sounds/Audio/laserLarge_002.ogg","Sci-Fi Sounds 1.0","Brickbat laser variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Sci-Fi Sounds/License.txt","29538","a6da38e29695f95415b569a48ba2f292d056c67566bd88361afb5c867e0866ca","a6da38e29695f95415b569a48ba2f292d056c67566bd88361afb5c867e0866ca"
"impact-sounds/paddle-light-rail-v2.ogg","Audio/Impact Sounds/Audio/impactMetal_light_001.ogg","Impact Sounds 1.0","Brickbat paddle / light pinball rail variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Impact Sounds/License.txt","9048","f092b75cc53083af839dc72e245d6b0daea6cd417a9abf707c67d91348483bce","f092b75cc53083af839dc72e245d6b0daea6cd417a9abf707c67d91348483bce"
"impact-sounds/paddle-light-rail-v3.ogg","Audio/Impact Sounds/Audio/impactMetal_light_002.ogg","Impact Sounds 1.0","Brickbat paddle / light pinball rail variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Impact Sounds/License.txt","8885","0d9cc7901cbd5cea390cfff2c2efdfc9bffe14b21e169ad56f25211ee66bd48a","0d9cc7901cbd5cea390cfff2c2efdfc9bffe14b21e169ad56f25211ee66bd48a"
"impact-sounds/pinball-bumper-v2.ogg","Audio/Impact Sounds/Audio/impactBell_heavy_001.ogg","Impact Sounds 1.0","Pinball bumper variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Impact Sounds/License.txt","17658","6975198cbdebc941892bf8e5f79c863795aa14188b8191a6a80b3b128de78c16","6975198cbdebc941892bf8e5f79c863795aa14188b8191a6a80b3b128de78c16"
"impact-sounds/pinball-bumper-v3.ogg","Audio/Impact Sounds/Audio/impactBell_heavy_002.ogg","Impact Sounds 1.0","Pinball bumper variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Impact Sounds/License.txt","11333","5433bb18b0ebd45dd539f2867296a59f023465dc0c17cde19b20fb97b5687ac5","5433bb18b0ebd45dd539f2867296a59f023465dc0c17cde19b20fb97b5687ac5"
"sci-fi-sounds/space-actor-projectile-v2.ogg","Audio/Sci-Fi Sounds/Audio/laserSmall_001.ogg","Sci-Fi Sounds 1.0","Space/actor projectile variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Sci-Fi Sounds/License.txt","9529","7603172ea05332c38fa1bd9a89a8e1c4e9cffd92f612c32fffbbbb56e6b2c5d1","7603172ea05332c38fa1bd9a89a8e1c4e9cffd92f612c32fffbbbb56e6b2c5d1"
"sci-fi-sounds/space-actor-projectile-v3.ogg","Audio/Sci-Fi Sounds/Audio/laserSmall_002.ogg","Sci-Fi Sounds 1.0","Space/actor projectile variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Sci-Fi Sounds/License.txt","11054","10251c33964c538b3575f2c72917cc599685b39d08e876da984f116128bd75fa","10251c33964c538b3575f2c72917cc599685b39d08e876da984f116128bd75fa"
"sci-fi-sounds/projectile-explosion-v2.ogg","Audio/Sci-Fi Sounds/Audio/explosionCrunch_001.ogg","Sci-Fi Sounds 1.0","Projectile explosion variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Sci-Fi Sounds/License.txt","50014","8089f8c7b458e37e9ed8f6b9f2e8b6c4818315d2ce0301cd716ca16f287121bb","8089f8c7b458e37e9ed8f6b9f2e8b6c4818315d2ce0301cd716ca16f287121bb"
"sci-fi-sounds/projectile-explosion-v3.ogg","Audio/Sci-Fi Sounds/Audio/explosionCrunch_002.ogg","Sci-Fi Sounds 1.0","Projectile explosion variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Sci-Fi Sounds/License.txt","50005","2d9e74cde399cd512c846265b8f9cb4fbea8d7bb9f7885906202a8e34a201b5c","2d9e74cde399cd512c846265b8f9cb4fbea8d7bb9f7885906202a8e34a201b5c"
"ui-pack/ui-accept-v2.ogg","UI assets/UI Pack/Sounds/click-b.ogg","UI Pack 2.0","UI accept variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","UI assets/UI Pack/License.txt","6157","154991a6d9ac80ae193ebad3de7eacb642821e9e48d801d054aa9d2b1004e8c6","154991a6d9ac80ae193ebad3de7eacb642821e9e48d801d054aa9d2b1004e8c6"
"ui-pack/ui-accept-v3.ogg","UI assets/UI Pack/Sounds/tap-a.ogg","UI Pack 2.0","UI accept variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","UI assets/UI Pack/License.txt","7043","f74c1334c0c1ab9ec69f3dd723611a8eb89a2630df6c3760dee3b09413370c83","f74c1334c0c1ab9ec69f3dd723611a8eb89a2630df6c3760dee3b09413370c83"
"ui-pack/ui-toggle-v2.ogg","UI assets/UI Pack/Sounds/switch-b.ogg","UI Pack 2.0","UI toggle variant 2","byte-for-byte copy; renamed only","CC0-1.0","Kenney","UI assets/UI Pack/License.txt","10138","f2ed0b3b5ad7662f0900d3ca5db81f314af6bf4583802874d308656ba31de1ad","f2ed0b3b5ad7662f0900d3ca5db81f314af6bf4583802874d308656ba31de1ad"
"ui-pack/ui-toggle-v3.ogg","UI assets/UI Pack/Sounds/tap-b.ogg","UI Pack 2.0","UI toggle variant 3","byte-for-byte copy; renamed only","CC0-1.0","Kenney","UI assets/UI Pack/License.txt","6119","736c70844cc7cfe87fc95d5e9711c186a593bbe8ccca04e3f4c9cfa7d4e42f3a","736c70844cc7cfe87fc95d5e9711c186a593bbe8ccca04e3f4c9cfa7d4e42f3a"
